title,original_air_date,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating
Simpsons Roasting on an Open Fire,1989-12-17,David Silverman,Mimi Pond,1,1,1,26.7,8.1
Bart the Genius,1990-01-14,David Silverman,Jon Vitti,1,2,2,24.5,7.7
Homer's Odyssey,1990-01-21,Wes Archer,Jay Kogen & Wallace Wolodarsky,1,3,3,27.5,7.3
There's No Disgrace Like Home,1990-01-28,Gregg Vanzo & Kent Butterworth,Al Jean & Mike Reiss,1,4,4,20.2,7.7
Bart the General,1990-02-04,David Silverman,John Swartzwelder,1,5,5,27.1,7.9
Moaning Lisa,1990-02-11,Wes Archer,Al Jean & Mike Reiss,1,6,6,27.4,7.6
The Call of the Simpsons,1990-02-18,Wes Archer,John Swartzwelder,1,7,7,27.6,7.7
The Telltale Head,1990-02-25,Rich Moore,"Al Jean, Mike Reiss, Sam Simon & Matt Groening",1,8,8,28.0,7.6
Life on the Fast Lane,1990-03-18,David Silverman,John Swartzwelder,1,9,9,33.5,7.4
Homer's Night Out,1990-03-25,Rich Moore,Jon Vitti,1,10,10,30.3,7.3
The Crepes of Wrath,1990-04-15,Wes Archer & Milton Gray,"George Meyer, Sam Simon, John Swartzwelder & Jon Vitti",1,11,11,31.2,7.7
Krusty Gets Busted,1990-04-29,Brad Bird,Jay Kogen & Wallace Wolodarsky,1,12,12,30.4,8.3
Some Enchanted Evening,1990-05-13,David Silverman & Kent Butterworth,Matt Groening & Sam Simon,1,13,13,27.1,7.7
Bart Gets an 'F',1990-10-11,David Silverman,David M. Stern,2,1,14,33.6,8.2
Simpson and Delilah,1990-10-18,Rich Moore,Jon Vitti,2,2,15,29.9,8.2
Treehouse of Horror,1990-10-25,Wes Archer,John Swartzwelder,2,3,16,27.4,8.2
Two Cars in Every Garage and Three Eyes on Every Fish,1990-11-01,Wes Archer,Sam Simon & John Swartzwelder,2,4,17,26.1,8.0
